polars,mean,single,1e+06,100,0.026
polars,mean,single,1e+06,1000,0.014
polars,mean,single,1e+06,10000,0.015
polars,mean,single,1e+07,100,0.125
polars,mean,single,1e+07,1000,0.164
polars,mean,single,1e+07,10000,0.133
polars,mean,single,1e+08,100,1.247
polars,mean,single,1e+08,1000,1.273
polars,mean,single,1e+08,10000,1.316
polars,mean,quadruple,1e+06,100,0.036
polars,mean,quadruple,1e+06,1000,0.036
polars,mean,quadruple,1e+06,10000,0.033
polars,mean,quadruple,1e+07,100,0.265
polars,mean,quadruple,1e+07,1000,0.39
polars,mean,quadruple,1e+07,10000,0.262
polars,mean,quadruple,1e+08,100,2.743
polars,mean,quadruple,1e+08,1000,5.672
polars,mean,quadruple,1e+08,10000,2.936
polars,median,single,1e+06,100,0.083
polars,median,single,1e+06,1000,0.075
polars,median,single,1e+06,10000,0.084
polars,median,single,1e+07,100,0.724
polars,median,single,1e+07,1000,0.733
polars,median,single,1e+07,10000,0.774
polars,median,single,1e+08,100,7.125
polars,median,single,1e+08,1000,7.4
polars,median,single,1e+08,10000,7.797
polars,median,quadruple,1e+06,100,0.156
polars,median,quadruple,1e+06,1000,0.158
polars,median,quadruple,1e+06,10000,0.173
polars,median,quadruple,1e+07,100,1.489
polars,median,quadruple,1e+07,1000,1.554
polars,median,quadruple,1e+07,10000,1.818
polars,median,quadruple,1e+08,100,14.644
polars,median,quadruple,1e+08,1000,16.533
polars,median,quadruple,1e+08,10000,16.744
data.table,mean,single,1e+06,100,0.008
data.table,mean,single,1e+06,1000,0.008
data.table,mean,single,1e+06,10000,0.006
data.table,mean,single,1e+07,100,0.135
data.table,mean,single,1e+07,1000,0.077
data.table,mean,single,1e+07,10000,0.073
data.table,mean,single,1e+08,100,0.636
data.table,mean,single,1e+08,1000,0.605
data.table,mean,single,1e+08,10000,0.612
data.table,mean,quadruple,1e+06,100,0.009
data.table,mean,quadruple,1e+06,1000,0.008
data.table,mean,quadruple,1e+06,10000,0.004
data.table,mean,quadruple,1e+07,100,0.069
data.table,mean,quadruple,1e+07,1000,0.068
data.table,mean,quadruple,1e+07,10000,0.07
data.table,mean,quadruple,1e+08,100,0.686
data.table,mean,quadruple,1e+08,1000,0.713
data.table,mean,quadruple,1e+08,10000,0.671
data.table,median,single,1e+06,100,0.032
data.table,median,single,1e+06,1000,0.03
data.table,median,single,1e+06,10000,0.033
data.table,median,single,1e+07,100,0.321
data.table,median,single,1e+07,1000,0.344
data.table,median,single,1e+07,10000,0.371
data.table,median,single,1e+08,100,3.149
data.table,median,single,1e+08,1000,3.376
data.table,median,single,1e+08,10000,3.678
data.table,median,quadruple,1e+06,100,0.071
data.table,median,quadruple,1e+06,1000,0.088
data.table,median,quadruple,1e+06,10000,0.113
data.table,median,quadruple,1e+07,100,0.718
data.table,median,quadruple,1e+07,1000,0.961
data.table,median,quadruple,1e+07,10000,1.248
data.table,median,quadruple,1e+08,100,7.18
data.table,median,quadruple,1e+08,1000,15.899
data.table,median,quadruple,1e+08,10000,14.595
pandas,mean,single,1000000,100,0.021
pandas,mean,single,1000000,1000,0.018
pandas,mean,single,1000000,10000,0.016
pandas,mean,single,10000000,100,0.175
pandas,mean,single,10000000,1000,0.179
pandas,mean,single,10000000,10000,0.177
pandas,mean,single,100000000,100,1.392
pandas,mean,single,100000000,1000,1.326
pandas,mean,single,100000000,10000,1.318
pandas,mean,quadruple,1000000,100,0.064
pandas,mean,quadruple,1000000,1000,0.056
pandas,mean,quadruple,1000000,10000,0.055
pandas,mean,quadruple,10000000,100,0.629
pandas,mean,quadruple,10000000,1000,0.629
pandas,mean,quadruple,10000000,10000,0.617
pandas,mean,quadruple,100000000,100,6.273
pandas,mean,quadruple,100000000,1000,6.522
pandas,mean,quadruple,100000000,10000,6.703
pandas,median,single,1000000,100,0.300
pandas,median,single,1000000,1000,0.415
pandas,median,single,1000000,10000,0.623
pandas,median,single,10000000,100,2.986
pandas,median,single,10000000,1000,4.169
pandas,median,single,10000000,10000,6.255
pandas,median,single,100000000,100,29.748
pandas,median,single,100000000,1000,41.229
pandas,median,single,100000000,10000,59.224
pandas,median,quadruple,1000000,100,1.169
pandas,median,quadruple,1000000,1000,1.640
pandas,median,quadruple,1000000,10000,2.137
pandas,median,quadruple,10000000,100,11.788
pandas,median,quadruple,10000000,1000,16.521
pandas,median,quadruple,10000000,10000,21.714
pandas,median,quadruple,100000000,100,117.504
pandas,median,quadruple,100000000,1000,166.722
pandas,median,quadruple,100000000,10000,220.577
